Date,IT Dep.,CostElement,Country,Forecast
01/05/2020,Administration,Legal,USA,648
01/07/2020,Administration,Legal,USA,"6,300"
01/08/2020,Administration,Legal,USA,"6,300"
01/09/2020,Administration,Legal,USA,"6,300"
01/10/2020,Administration,Legal,USA,"6,300"
01/11/2020,Administration,Legal,USA,"6,300"
01/12/2020,Administration,Legal,USA,"6,300"
01/01/2020,Administration,Moving,USA,404
01/02/2020,Administration,Moving,USA,744
01/03/2020,Administration,Moving,USA,867
01/04/2020,Administration,Moving,USA,"12,611"
01/05/2020,Administration,Moving,USA,"18,227"
01/06/2020,Administration,Moving,USA,"4,081"
01/07/2020,Administration,Moving,USA,"2,400"
01/02/2020,Administration,Other,Germany,35
01/01/2020,Administration,Other,Italy,12
01/03/2020,Administration,Other,Italy,-30
01/04/2020,Administration,Other,Italy,3
01/01/2020,Administration,Other,United Kingdom,18
01/02/2020,Administration,Other,United Kingdom,6
01/03/2020,Administration,Other,United Kingdom,13
01/01/2020,Administration,Other,USA,"-3,239"
01/02/2020,Administration,Other,USA,"-5,109"
01/03/2020,Administration,Other,USA,"29,563"
01/04/2020,Administration,Other,USA,"8,125"
01/05/2020,Administration,Other,USA,669
01/06/2020,Administration,Other,USA,182
01/07/2020,Administration,Other,USA,632
01/08/2020,Administration,Other,USA,"24,632"
01/09/2020,Administration,Other,USA,"20,132"
01/10/2020,Administration,Other,USA,"1,682"
01/11/2020,Administration,Other,USA,632
01/12/2020,Administration,Other,USA,"20,132"
01/01/2020,Administration,Outbound Allocations,United Kingdom,685
01/02/2020,Administration,Outbound Allocations,United Kingdom,708
01/03/2020,Administration,Outbound Allocations,United Kingdom,717
01/04/2020,Administration,Outbound Allocations,United Kingdom,714
01/05/2020,Administration,Outbound Allocations,United Kingdom,743
01/06/2020,Administration,Outbound Allocations,United Kingdom,732
01/07/2020,Administration,Outbound Allocations,United Kingdom,721
01/08/2020,Administration,Outbound Allocations,United Kingdom,721
01/09/2020,Administration,Outbound Allocations,United Kingdom,721
01/10/2020,Administration,Outbound Allocations,United Kingdom,721
01/11/2020,Administration,Outbound Allocations,United Kingdom,721
01/12/2020,Administration,Outbound Allocations,United Kingdom,721
01/05/2020,Administration,Recognition,USA,44
01/07/2020,Administration,Recognition,USA,23
01/08/2020,Administration,Recognition,USA,23
01/09/2020,Administration,Recognition,USA,23
01/10/2020,Administration,Recognition,USA,23
01/11/2020,Administration,Recognition,USA,23
01/12/2020,Administration,Recognition,USA,23
01/01/2020,Administration,Severance,Italy,388
01/02/2020,Administration,Severance,Italy,312
01/03/2020,Administration,Severance,Italy,"-42,763"
01/04/2020,Administration,Severance,Italy,332
01/05/2020,Administration,Severance,Italy,371
01/06/2020,Administration,Severance,Italy,452
01/01/2020,Administration,Software,USA,5
01/04/2020,Administration,Software Maintenance,USA,269
01/06/2020,Administration,Software Maintenance,USA,-269
01/01/2020,Administration,Supplies,USA,17
01/02/2020,Administration,Supplies,USA,30
01/03/2020,Administration,Supplies,USA,466
01/04/2020,Administration,Supplies,USA,244
01/05/2020,Administration,Supplies,USA,227
01/07/2020,Administration,Supplies,USA,458
01/08/2020,Administration,Supplies,USA,458
01/09/2020,Administration,Supplies,USA,458
01/10/2020,Administration,Supplies,USA,458
01/11/2020,Administration,Supplies,USA,458
01/12/2020,Administration,Supplies,USA,458
01/01/2020,Administration,Telecomm,Italy,2
01/02/2020,Administration,Telecomm,Italy,2
01/03/2020,Administration,Telecomm,Italy,82
01/04/2020,Administration,Telecomm,Italy,13
01/05/2020,Administration,Telecomm,Italy,43
01/06/2020,Administration,Telecomm,Italy,-1
01/01/2020,Administration,Telecomm,United Kingdom,103
01/02/2020,Administration,Telecomm,United Kingdom,85
01/03/2020,Administration,Telecomm,United Kingdom,215
01/02/2020,Administration,Telecomm,USA,"5,219"
01/03/2020,Administration,Telecomm,USA,"1,073"
01/04/2020,Administration,Telecomm,USA,"1,140"
01/06/2020,Administration,Telecomm,USA,"1,685"
01/07/2020,Administration,Telecomm,USA,"3,000"
01/08/2020,Administration,Telecomm,USA,"3,000"
01/09/2020,Administration,Telecomm,USA,"3,000"
01/10/2020,Administration,Telecomm,USA,"3,000"
01/11/2020,Administration,Telecomm,USA,"3,000"
01/12/2020,Administration,Telecomm,USA,"3,000"
01/02/2020,Administration,Training,Germany,767
01/03/2020,Administration,Training,Germany,"4,064"
01/05/2020,Administration,Training,Germany,533
01/03/2020,Administration,Training,USA,88
01/05/2020,Administration,Training,USA,525
01/06/2020,Administration,Training,USA,"1,069"
01/07/2020,Administration,Training,USA,"1,563"
01/08/2020,Administration,Training,USA,"1,563"
01/09/2020,Administration,Training,USA,"1,458"
01/10/2020,Administration,Training,USA,"1,458"
01/11/2020,Administration,Training,USA,"1,739"
01/12/2020,Administration,Training,USA,"2,411"
01/03/2020,Administration,Travel,Germany,95
01/06/2020,Administration,Travel,Italy,203
01/01/2020,Administration,Travel,USA,"6,934"
01/02/2020,Administration,Travel,USA,"19,226"
01/03/2020,Administration,Travel,USA,"10,518"
01/04/2020,Administration,Travel,USA,"10,570"
01/05/2020,Administration,Travel,USA,"13,643"
01/06/2020,Administration,Travel,USA,"17,817"
01/12/2020,Administration,Travel,USA,"18,600"
01/01/2020,Administration,Vehicles,United Kingdom,62
01/02/2020,Administration,Vehicles,United Kingdom,32
01/04/2020,Administration,Vehicles,United Kingdom,230
01/01/2020,Architecture,Depreciation,USA,693
01/02/2020,Architecture,Depreciation,USA,693
01/03/2020,Architecture,Depreciation,USA,693
01/04/2020,Architecture,Depreciation,USA,693
01/05/2020,Architecture,Depreciation,USA,693
01/06/2020,Architecture,Depreciation,USA,693
01/07/2020,Architecture,Depreciation,USA,693
01/08/2020,Architecture,Depreciation,USA,693
01/09/2020,Architecture,Depreciation,USA,693
01/10/2020,Architecture,Depreciation,USA,693
01/11/2020,Architecture,Depreciation,USA,693
01/12/2020,Architecture,Depreciation,USA,693
01/02/2020,Architecture,Employee Performance,USA,218
01/03/2020,Architecture,Employee Performance,USA,4
01/04/2020,Architecture,Employee Performance,USA,330
01/07/2020,Architecture,Employee Performance,USA,20
01/08/2020,Architecture,Employee Performance,USA,20
01/09/2020,Architecture,Employee Performance,USA,20
01/10/2020,Architecture,Employee Performance,USA,20
01/11/2020,Architecture,Employee Performance,USA,20
01/12/2020,Architecture,Employee Performance,USA,20
01/07/2020,Architecture,External Labor,USA,"2,157"
01/08/2020,Architecture,External Labor,USA,"2,157"
01/09/2020,Architecture,External Labor,USA,"2,157"
01/10/2020,Architecture,External Labor,USA,"2,157"
01/11/2020,Architecture,External Labor,USA,"2,157"
01/12/2020,Architecture,External Labor,USA,"2,157"
01/03/2020,Architecture,Hardware,USA,240
01/05/2020,Architecture,Hardware,USA,500
01/07/2020,Architecture,Hardware,USA,"1,609"
01/08/2020,Architecture,Hardware,USA,"1,609"
01/09/2020,Architecture,Hardware,USA,"1,609"
01/10/2020,Architecture,Hardware,USA,"1,609"
01/11/2020,Architecture,Hardware,USA,"1,609"
01/12/2020,Architecture,Hardware,USA,"1,609"
01/07/2020,Architecture,Hardware Maintenance,USA,15
01/08/2020,Architecture,Hardware Maintenance,USA,15
01/09/2020,Architecture,Hardware Maintenance,USA,15
01/10/2020,Architecture,Hardware Maintenance,USA,15
01/11/2020,Architecture,Hardware Maintenance,USA,15
01/12/2020,Architecture,Hardware Maintenance,USA,15
01/01/2020,Architecture,Internal Labor,USA,"41,537"
01/02/2020,Architecture,Internal Labor,USA,"43,028"
01/03/2020,Architecture,Internal Labor,USA,"45,385"
01/04/2020,Architecture,Internal Labor,USA,"41,175"
01/05/2020,Architecture,Internal Labor,USA,"39,924"
01/06/2020,Architecture,Internal Labor,USA,"40,012"
01/07/2020,Architecture,Internal Labor,USA,"41,300"
01/08/2020,Architecture,Internal Labor,USA,"41,149"
01/09/2020,Architecture,Internal Labor,USA,"40,889"
01/10/2020,Architecture,Internal Labor,USA,"41,325"
01/11/2020,Architecture,Internal Labor,USA,"41,192"
01/12/2020,Architecture,Internal Labor,USA,"41,184"
01/05/2020,Architecture,Moving,USA,62
01/02/2020,Architecture,Other,USA,"9,379"
01/03/2020,Architecture,Other,USA,"-1,583"
01/04/2020,Architecture,Other,USA,"-1,583"
01/05/2020,Architecture,Other,USA,"-1,583"
01/06/2020,Architecture,Other,USA,-375
01/07/2020,Architecture,Other,USA,514
01/08/2020,Architecture,Other,USA,514
01/09/2020,Architecture,Other,USA,"7,264"
01/10/2020,Architecture,Other,USA,"7,264"
01/11/2020,Architecture,Other,USA,"7,264"
01/12/2020,Architecture,Other,USA,"7,264"
01/07/2020,Architecture,Recognition,USA,26
01/08/2020,Architecture,Recognition,USA,26
01/09/2020,Architecture,Recognition,USA,26
01/10/2020,Architecture,Recognition,USA,26
01/11/2020,Architecture,Recognition,USA,26
01/12/2020,Architecture,Recognition,USA,26
01/07/2020,Architecture,Software,USA,"1,071"
01/08/2020,Architecture,Software,USA,"1,071"
01/09/2020,Architecture,Software,USA,"1,071"
01/10/2020,Architecture,Software,USA,"1,071"
01/11/2020,Architecture,Software,USA,"1,071"
01/12/2020,Architecture,Software,USA,"1,071"
01/04/2020,Architecture,Software Maintenance,USA,539
01/06/2020,Architecture,Software Maintenance,USA,-539
01/01/2020,Architecture,Supplies,USA,26
01/02/2020,Architecture,Supplies,USA,2
01/03/2020,Architecture,Supplies,USA,27
01/04/2020,Architecture,Supplies,USA,79
01/06/2020,Architecture,Supplies,USA,90
01/07/2020,Architecture,Supplies,USA,311
01/08/2020,Architecture,Supplies,USA,311
01/09/2020,Architecture,Supplies,USA,311
01/10/2020,Architecture,Supplies,USA,311
01/11/2020,Architecture,Supplies,USA,311
01/12/2020,Architecture,Supplies,USA,311
01/01/2020,Architecture,Taxes,USA,48
01/02/2020,Architecture,Taxes,USA,39
01/03/2020,Architecture,Taxes,USA,44
01/04/2020,Architecture,Taxes,USA,44
01/05/2020,Architecture,Taxes,USA,44
01/06/2020,Architecture,Taxes,USA,44
01/07/2020,Architecture,Taxes,USA,44
01/08/2020,Architecture,Taxes,USA,44
01/09/2020,Architecture,Taxes,USA,44
01/10/2020,Architecture,Taxes,USA,44
01/11/2020,Architecture,Taxes,USA,44
01/12/2020,Architecture,Taxes,USA,44
01/02/2020,Architecture,Telecomm,USA,263
01/03/2020,Architecture,Telecomm,USA,516
01/04/2020,Architecture,Telecomm,USA,178
01/06/2020,Architecture,Telecomm,USA,771
01/07/2020,Architecture,Telecomm,USA,"1,180"
01/08/2020,Architecture,Telecomm,USA,"1,180"
01/09/2020,Architecture,Telecomm,USA,"1,180"
01/10/2020,Architecture,Telecomm,USA,"1,180"
01/11/2020,Architecture,Telecomm,USA,"1,180"
01/12/2020,Architecture,Telecomm,USA,"1,180"
01/01/2020,Architecture,Training,USA,14
01/03/2020,Architecture,Training,USA,"1,106"
01/04/2020,Architecture,Training,USA,315
01/05/2020,Architecture,Training,USA,420
01/07/2020,Architecture,Training,USA,"1,941"
01/08/2020,Architecture,Training,USA,"1,941"
01/09/2020,Architecture,Training,USA,"1,941"
01/10/2020,Architecture,Training,USA,"1,941"
01/11/2020,Architecture,Training,USA,"1,941"
01/12/2020,Architecture,Training,USA,205
01/01/2020,Architecture,Travel,USA,54
01/02/2020,Architecture,Travel,USA,109
01/03/2020,Architecture,Travel,USA,"1,649"
01/05/2020,Architecture,Travel,USA,"2,399"
01/06/2020,Architecture,Travel,USA,"4,446"
01/07/2020,Architecture,Travel,USA,442
01/08/2020,Architecture,Travel,USA,442
01/09/2020,Architecture,Travel,USA,442
01/10/2020,Architecture,Travel,USA,442
01/11/2020,Architecture,Travel,USA,442
01/07/2020,Business Intelligence,Administrative,USA,-225
01/08/2020,Business Intelligence,Administrative,USA,-225
01/09/2020,Business Intelligence,Administrative,USA,-225
01/10/2020,Business Intelligence,Administrative,USA,-225
01/11/2020,Business Intelligence,Administrative,USA,-225
01/12/2020,Business Intelligence,Administrative,USA,-225
01/03/2020,Business Intelligence,CAPEX,USA,"-4,080"
01/04/2020,Business Intelligence,CAPEX,USA,336
01/06/2020,Business Intelligence,CAPEX,USA,"4,195"
01/01/2020,Business Intelligence,Employee Performance,USA,2
01/02/2020,Business Intelligence,Employee Performance,USA,22
01/03/2020,Business Intelligence,Employee Performance,USA,75
01/04/2020,Business Intelligence,Employee Performance,USA,4
01/05/2020,Business Intelligence,Employee Performance,USA,38
01/06/2020,Business Intelligence,Employee Performance,USA,16
01/07/2020,Business Intelligence,Employee Performance,USA,191
01/08/2020,Business Intelligence,Employee Performance,USA,191
01/09/2020,Business Intelligence,Employee Performance,USA,191
01/10/2020,Business Intelligence,Employee Performance,USA,191
01/11/2020,Business Intelligence,Employee Performance,USA,191
01/12/2020,Business Intelligence,Employee Performance,USA,191
01/01/2020,Business Intelligence,External Labor,USA,"3,636"
01/02/2020,Business Intelligence,External Labor,USA,"16,966"
01/03/2020,Business Intelligence,External Labor,USA,"8,366"
01/04/2020,Business Intelligence,External Labor,USA,"8,371"
01/05/2020,Business Intelligence,External Labor,USA,"29,540"
01/06/2020,Business Intelligence,External Labor,USA,"1,089"
01/07/2020,Business Intelligence,External Labor,USA,"16,007"
01/08/2020,Business Intelligence,External Labor,USA,"16,007"
01/09/2020,Business Intelligence,External Labor,USA,"16,007"
01/10/2020,Business Intelligence,External Labor,USA,"16,007"
01/11/2020,Business Intelligence,External Labor,USA,"16,007"
01/12/2020,Business Intelligence,External Labor,USA,"16,007"
01/03/2020,Business Intelligence,Hardware,USA,426
01/04/2020,Business Intelligence,Hardware,USA,4
01/05/2020,Business Intelligence,Hardware,USA,111
01/06/2020,Business Intelligence,Hardware,USA,"1,192"
01/07/2020,Business Intelligence,Hardware,USA,136
01/08/2020,Business Intelligence,Hardware,USA,136
01/09/2020,Business Intelligence,Hardware,USA,136
01/10/2020,Business Intelligence,Hardware,USA,136
01/11/2020,Business Intelligence,Hardware,USA,136
01/12/2020,Business Intelligence,Hardware,USA,136
01/07/2020,Business Intelligence,Hardware Maintenance,USA,136
01/08/2020,Business Intelligence,Hardware Maintenance,USA,136
01/09/2020,Business Intelligence,Hardware Maintenance,USA,136
01/10/2020,Business Intelligence,Hardware Maintenance,USA,136
01/11/2020,Business Intelligence,Hardware Maintenance,USA,136
01/12/2020,Business Intelligence,Hardware Maintenance,USA,136
01/01/2020,Business Intelligence,Internal Labor,USA,"64,388"
01/02/2020,Business Intelligence,Internal Labor,USA,"63,595"
01/03/2020,Business Intelligence,Internal Labor,USA,"70,502"
01/04/2020,Business Intelligence,Internal Labor,USA,"64,353"
01/05/2020,Business Intelligence,Internal Labor,USA,"61,849"
01/06/2020,Business Intelligence,Internal Labor,USA,"62,593"
01/07/2020,Business Intelligence,Internal Labor,USA,"63,985"
01/08/2020,Business Intelligence,Internal Labor,USA,"63,981"
01/09/2020,Business Intelligence,Internal Labor,USA,"63,736"
01/10/2020,Business Intelligence,Internal Labor,USA,"64,817"
01/11/2020,Business Intelligence,Internal Labor,USA,"63,997"
01/12/2020,Business Intelligence,Internal Labor,USA,"63,852"
01/02/2020,Business Intelligence,Other,USA,454
01/03/2020,Business Intelligence,Other,USA,2
01/04/2020,Business Intelligence,Other,USA,12
01/07/2020,Business Intelligence,Other,USA,100
01/08/2020,Business Intelligence,Other,USA,100
01/09/2020,Business Intelligence,Other,USA,100
01/10/2020,Business Intelligence,Other,USA,100
01/11/2020,Business Intelligence,Other,USA,100
01/12/2020,Business Intelligence,Other,USA,100
01/07/2020,Business Intelligence,Recognition,USA,56
01/08/2020,Business Intelligence,Recognition,USA,56
01/09/2020,Business Intelligence,Recognition,USA,56
01/10/2020,Business Intelligence,Recognition,USA,56
01/11/2020,Business Intelligence,Recognition,USA,56
01/12/2020,Business Intelligence,Recognition,USA,56
01/07/2020,Business Intelligence,Software,USA,93
01/08/2020,Business Intelligence,Software,USA,93
01/09/2020,Business Intelligence,Software,USA,93
01/10/2020,Business Intelligence,Software,USA,93
01/11/2020,Business Intelligence,Software,USA,93
01/12/2020,Business Intelligence,Software,USA,93
01/04/2020,Business Intelligence,Software Maintenance,USA,"3,772"
01/06/2020,Business Intelligence,Software Maintenance,USA,"-3,772"
01/07/2020,Business Intelligence,Software Maintenance,USA,"5,501"
01/08/2020,Business Intelligence,Software Maintenance,USA,105
01/09/2020,Business Intelligence,Software Maintenance,USA,105
01/10/2020,Business Intelligence,Software Maintenance,USA,105
01/11/2020,Business Intelligence,Software Maintenance,USA,105
01/12/2020,Business Intelligence,Software Maintenance,USA,105
01/01/2020,Business Intelligence,Supplies,USA,19
01/02/2020,Business Intelligence,Supplies,USA,18
01/03/2020,Business Intelligence,Supplies,USA,336
01/04/2020,Business Intelligence,Supplies,USA,136
01/05/2020,Business Intelligence,Supplies,USA,107
01/07/2020,Business Intelligence,Supplies,USA,210
01/08/2020,Business Intelligence,Supplies,USA,210
01/09/2020,Business Intelligence,Supplies,USA,210
01/10/2020,Business Intelligence,Supplies,USA,210
01/11/2020,Business Intelligence,Supplies,USA,210
01/12/2020,Business Intelligence,Supplies,USA,210
01/02/2020,Business Intelligence,Telecomm,USA,272
01/03/2020,Business Intelligence,Telecomm,USA,368
01/04/2020,Business Intelligence,Telecomm,USA,111
01/06/2020,Business Intelligence,Telecomm,USA,407
01/07/2020,Business Intelligence,Telecomm,USA,150
01/08/2020,Business Intelligence,Telecomm,USA,150
01/09/2020,Business Intelligence,Telecomm,USA,150
01/10/2020,Business Intelligence,Telecomm,USA,150
01/11/2020,Business Intelligence,Telecomm,USA,150
01/12/2020,Business Intelligence,Telecomm,USA,150
01/02/2020,Business Intelligence,Training,USA,567
01/03/2020,Business Intelligence,Training,USA,264
01/04/2020,Business Intelligence,Training,USA,884
01/06/2020,Business Intelligence,Training,USA,"1,013"
01/07/2020,Business Intelligence,Training,USA,"2,555"
01/08/2020,Business Intelligence,Training,USA,"2,555"
01/09/2020,Business Intelligence,Training,USA,"2,555"
01/10/2020,Business Intelligence,Training,USA,"2,555"
01/11/2020,Business Intelligence,Training,USA,"2,555"
01/12/2020,Business Intelligence,Training,USA,"2,555"
01/02/2020,Business Intelligence,Travel,USA,2
01/04/2020,Business Intelligence,Travel,USA,659
01/05/2020,Business Intelligence,Travel,USA,134
01/06/2020,Business Intelligence,Travel,USA,"1,260"
01/07/2020,Business Intelligence,Travel,USA,"2,108"
01/08/2020,Business Intelligence,Travel,USA,"4,208"
01/09/2020,Business Intelligence,Travel,USA,"2,108"
01/10/2020,Business Intelligence,Travel,USA,"2,108"
01/11/2020,Business Intelligence,Travel,USA,"4,208"
01/12/2020,Business Intelligence,Travel,USA,"2,108"
01/02/2020,Core,Employee Performance,USA,60
01/04/2020,Core,Employee Performance,USA,53
01/06/2020,Core,Employee Performance,USA,784
01/07/2020,Core,Employee Performance,USA,29
01/08/2020,Core,Employee Performance,USA,29
01/09/2020,Core,Employee Performance,USA,29
01/10/2020,Core,Employee Performance,USA,29
01/11/2020,Core,Employee Performance,USA,29
01/12/2020,Core,Employee Performance,USA,29
01/01/2020,Core,External Labor,USA,"1,723"
01/02/2020,Core,External Labor,USA,"5,168"
01/03/2020,Core,External Labor,USA,"-1,723"
01/04/2020,Core,External Labor,USA,"4,573"
01/05/2020,Core,External Labor,USA,"4,573"
01/06/2020,Core,External Labor,USA,"1,766"
01/07/2020,Core,External Labor,USA,"3,000"
01/08/2020,Core,External Labor,USA,"3,000"
01/09/2020,Core,External Labor,USA,"3,000"
01/10/2020,Core,External Labor,USA,"3,000"
01/03/2020,Core,Hardware,USA,10
01/05/2020,Core,Hardware,USA,176
01/01/2020,Core,Internal Labor,USA,"20,476"
01/02/2020,Core,Internal Labor,USA,"21,254"
01/03/2020,Core,Internal Labor,USA,"23,722"
01/04/2020,Core,Internal Labor,USA,"20,209"
01/05/2020,Core,Internal Labor,USA,"19,502"
01/06/2020,Core,Internal Labor,USA,"19,660"
01/07/2020,Core,Internal Labor,USA,"36,254"
01/08/2020,Core,Internal Labor,USA,"36,254"
01/09/2020,Core,Internal Labor,USA,"36,254"
01/10/2020,Core,Internal Labor,USA,"36,254"
01/11/2020,Core,Internal Labor,USA,"36,254"
01/12/2020,Core,Internal Labor,USA,"36,254"
01/04/2020,Core,Other,USA,24
01/05/2020,Core,Other,USA,39
01/07/2020,Core,Other,USA,"32,296"
01/08/2020,Core,Other,USA,"32,296"
01/09/2020,Core,Other,USA,"32,296"
01/10/2020,Core,Other,USA,"32,296"
01/11/2020,Core,Other,USA,"32,296"
01/12/2020,Core,Other,USA,"32,296"
01/07/2020,Core,Recognition,USA,8
01/08/2020,Core,Recognition,USA,8
01/09/2020,Core,Recognition,USA,8
01/10/2020,Core,Recognition,USA,8
01/11/2020,Core,Recognition,USA,8
01/12/2020,Core,Recognition,USA,8
01/06/2020,Core,Software,USA,73
01/02/2020,Core,Telecomm,United Kingdom,166
01/02/2020,Core,Telecomm,USA,"1,017"
01/03/2020,Core,Telecomm,USA,232
01/04/2020,Core,Telecomm,USA,340
01/06/2020,Core,Telecomm,USA,458
01/01/2020,Core,Training,USA,399
01/02/2020,Core,Training,USA,326
01/01/2020,Core,Travel,USA,108
01/02/2020,Core,Travel,USA,479
01/03/2020,Core,Travel,USA,"3,773"
01/04/2020,Core,Travel,USA,"2,607"
01/05/2020,Core,Travel,USA,625
01/06/2020,Core,Travel,USA,634
01/07/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
01/08/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
01/09/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
01/10/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
01/11/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
01/12/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
01/01/2020,Core Infrastructure,Amortization,Mexico,691
01/02/2020,Core Infrastructure,Amortization,Mexico,"1,009"
01/03/2020,Core Infrastructure,Amortization,Mexico,"1,002"
01/04/2020,Core Infrastructure,Amortization,Mexico,"1,351"
01/05/2020,Core Infrastructure,Amortization,Mexico,"1,393"
01/06/2020,Core Infrastructure,Amortization,Mexico,"1,383"
01/07/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
01/08/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
01/09/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
01/10/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
01/11/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
01/12/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
01/01/2020,Core Infrastructure,Depreciation,Brazil,"14,333"
01/02/2020,Core Infrastructure,Depreciation,Brazil,"12,901"
01/03/2020,Core Infrastructure,Depreciation,Brazil,"13,464"
01/04/2020,Core Infrastructure,Depreciation,Brazil,"12,224"
01/05/2020,Core Infrastructure,Depreciation,Brazil,"17,711"
01/06/2020,Core Infrastructure,Depreciation,Brazil,"12,884"
01/07/2020,Core Infrastructure,Depreciation,Brazil,"23,512"
01/08/2020,Core Infrastructure,Depreciation,Brazil,"23,512"
